#OTU ID	barcode01	barcode02
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_136	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_137	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_138	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_139	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_14	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_140	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_141	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_142	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_143	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_144	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_145	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_146	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_147	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_148	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_149	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_15	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_150	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_151	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_152	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_153	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_154	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_155	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_156	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_157	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_158	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_159	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_16	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_160	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_161	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_162	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_163	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_164	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_165	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_166	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_167	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_168	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_169	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_17	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_170	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_171	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_172	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_173	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_174	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_175	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_176	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_177	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_178	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_179	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_18	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_180	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_181	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_182	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_183	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_184	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_185	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_186	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_187	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_188	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_189	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_19	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_190	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_191	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_192	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_193	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_194	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_195	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_196	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_197	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_198	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_199	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_2	2	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_20	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_200	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_201	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_202	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_203	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_204	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_205	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_206	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_207	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_208	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_209	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_21	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_210	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_211	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_212	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_213	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_214	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_215	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_216	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_217	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_218	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_219	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_22	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_220	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_221	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_222	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_223	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_224	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_225	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_226	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_227	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_228	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_229	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_23	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_230	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_231	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_232	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_233	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_234	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_235	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_24	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_25	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_26	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_27	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_28	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_29	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_3	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_30	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_31	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_32	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_33	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_34	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_35	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_36	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_37	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_38	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_39	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_4	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_40	2	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_41	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_42	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_43	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_44	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_45	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_46	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_47	0	1
