#OTU ID	barcode01	barcode02
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_172	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_173	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_174	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_175	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_176	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_177	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_178	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_179	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_18	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_180	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_181	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_182	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_183	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_184	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_185	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_186	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_187	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_188	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_189	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_19	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_190	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_191	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_192	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_193	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_194	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_195	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_196	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_197	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_198	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_199	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_2	2	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_20	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_200	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_201	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_202	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_203	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_204	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_205	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_206	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_207	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_208	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_209	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_21	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_210	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_211	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_212	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_213	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_214	0	1
