"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"LN573500.1.1345","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",25,16
"KX753110.1.1499","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",25,9
"FR749824.1.1470","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured bacterium","","",25,6
"KP869778.1.1376","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",24,42
"JN023209.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",24,7
"EU881243.1.1513","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",24,10
"KY992690.1.1456","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured Chloroflexi bacterium","","",23,5
"KY992687.1.1456","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured Chloroflexi bacterium","","",23,6
"KX239050.1.1499","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",23,44
"JN023239.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",23,5
"EU335450.1.1452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",23,40
"EF516286.1.1443","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",23,26
"EF516186.1.1468","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",23,9
"EF516050.1.1421","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",23,23
"JX504903.1.1437","Bacteria","Chloroflexi","AD3","uncultured Clostridium sp.","","","",22,5
"KM200420.1.1475","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Acidobacteria bacterium",21,16
"JN023819.1.1462","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",21,29
"JN023425.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",21,4
"JF204212.1.1310","Bacteria","Chloroflexi","TK10","uncultured bacterium","","","",21,6
"KX823783.1.1512","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured bacterium","",20,13
"KM200537.1.1487","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonadaceae bacterium",20,9
"KM200507.1.1479","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured Singulisphaera sp.",20,7
