"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"AB637046.1.1487","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","uncultured bacterium",2,9
"AB630490.1.1479","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured bacterium",2,0
"AB608685.1.1453","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",2,14
"AB608668.1.1453","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",2,13
"AB597951.1.1487","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter arvalis",2,0
"AB597950.1.1474","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter arvalis",2,0
"AB546292.1.1473","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Verrucosispora","Micromonospora gifhornensis",2,0
"AB546285.1.1424","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. IR51-Co123",2,1
"AB546284.1.1449","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. IR51-RC111",2,0
"AB531475.1.1449","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. S72",2,1
"AB487309.1.1378","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium",2,14
"AB487113.1.1358","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","uncultured bacterium",2,4
"AB486211.1.1374","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium",2,12
"AB455238.1.1488","Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium","Symbiobacterium turbinis",2,2
"AB381935.1.1488","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum","Rhodovastum atsumiense",2,3
"AB374393.1.1486","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured endolithic bacterium","",2,0
"AB364802.1.1478","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13","uncultured bacterium","","",2,0
"AB364778.1.1464","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13","uncultured bacterium","","",2,0
"AB364763.1.1469","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13","uncultured bacterium","","",2,0
"AB364758.1.1470","Bacteria","Acidobacteriota","Acidobacteriae","Subgroup 13","uncultured bacterium","","",2,0
"AB364756.1.1422","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",2,2
"AB364708.1.1402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","uncultured bacterium",2,2
"AB271056.1.1478","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella","Cohnella panacarvi",2,1
"AB254776.1.1488","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","uncultured bacterium","","",2,4
"AB250621.1.1476","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","Rhodomicrobium vannielii",2,1
"AB245390.1.1487","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces panaciterrae",2,0
"AB245380.1.1476","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus panaciterrae",2,1
"AB245345.1.1434","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","alpha proteobacterium Gsoil 264",2,3
"AB245339.1.1430","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","Acidobacteriaceae bacterium Gsoil 149",2,3
"AB241539.1.1489","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured bacterium",2,1
"AB240357.1.1489","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured bacterium",2,2
"AB240233.1.1440","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI cluster","uncultured bacterium",2,1
"AB240226.1.1506","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","",2,5
"AB196254.1.1493","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Janthinobacterium sp. IC161",2,4
"AB176392.1.1365","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium",2,0
"AB128876.1.1513","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","uncultured bacterium","","",2,0
"AB037003.1.1476","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes globisporus",2,0
"Z68094.1.1486","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces thermovulgaris",1,0
"Y18473.1.1474","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",1,0
"X93198.1.1478","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","Catellatospora citrea",1,0
"X93197.1.1478","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora","Catellatospora citrea",1,0
"X92608.1.1471","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","Micromonospora echinospora",1,0
"X71852.1.1514","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium","Ruminiclostridium papyrosolvens",1,0
"X64376.1.1246","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",1,0
"X52930.1.1463","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium malmoense",1,0
"U69637.1.1481","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. (ex Lupinus)",1,0
"MVHP01000063.125.1657","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium elephantis",1,0
"MVHM01000043.1.1548","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium branderi",1,0
"MTIC01000046.604.2106","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Sinomonas","Sinomonas mesophila",1,0
"MS821717.1.1494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MS821716.1.1494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MS821715.1.1492","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MS821713.1.1494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MS821711.1.1494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MS821708.1.1494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridium disporicum",1,0
"MKRX01000006.343791.345298","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Armatimonadetes bacterium 55-13","",1,1
"MK124628.1.1386","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured","Cytophagales bacterium",1,0
"MK123415.1.1416","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus","Anaerobacillus alkalilacustris",1,0
"MI372941.1.1489","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","unidentified",1,0
"MHWQ01000001.9838.11360","Bacteria","Patescibacteria","Parcubacteria","Candidatus Azambacteria","Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_02_FULL_51_21","","",1,0
"MH989600.1.1526","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia","Lysinimonas sp.",1,0
"MH922829.1.1476","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp.",1,0
"MH819687.1.1450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp.",1,0
"MH744625.1.1450","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter sp.",1,0
"MH725568.1.1458","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Rhizobacter sp.",1,0
"MH715149.1.1383","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium subterraneum",1,0
"MH712138.1.1447","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces sp.",1,0
"MH699325.1.1476","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","Clostridiaceae bacterium",1,1
"MH699286.1.1498","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp.",1,0
"MH699236.1.1501","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Terrabacter sp.",1,0
"MH699232.1.1520","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia sp.",1,1
"MH699159.1.1497","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Terrabacter sp.",1,0
"MH699144.1.1490","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Mycobacterium sp.",1,0
"MH699128.1.1500","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp.",1,0
"MH698909.1.1478","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus sp.",1,1
"MH698809.1.1494","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella","Ideonella sp.",1,0
"MH698791.1.1510","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp.",1,0
"MH698788.1.1496","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp.",1,0
"MH698748.1.1500","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Terrabacter sp.",1,0
"MH698714.1.1507","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp.",1,0
"MH698710.1.1498","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp.",1,0
"MH698670.1.1483","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp.",1,1
"MH688831.1.1502","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga sp.",1,0
"MH688777.1.1443","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp.",1,0
"MH686073.1.1586","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Geminicoccus","Geminicoccus sp.",1,1
"MH683156.1.1507","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. (in: Bacteria)",1,0
"MH683137.1.1482","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp.",1,0
"MH671503.1.1498","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Terrabacter sp.",1,0
"MH598363.1.1482","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis sp. GLM-1",1,0
"MH509728.1.1500","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter sp.",1,0
"MH445240.1.1494","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",1,12
"MH445216.1.1495","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","uncultured bacterium",1,1
"MH445187.1.1527","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured bacterium",1,2
"MH445177.1.1442","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","uncultured bacterium",1,1
"MH445066.1.1425","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","uncultured bacterium",1,0
"MH445062.1.1497","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","uncultured bacterium","","",1,0
"MH445056.1.1517","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter","uncultured bacterium",1,1
"MH445013.1.1509","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","uncultured bacterium",1,1
"MH444996.1.1484","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","uncultured bacterium",1,0
"MH432681.1.1499","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura nitritigenes","",1,0
"MH432680.1.1499","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura nitritigenes","",1,0
"MH393403.1.1492","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Paraburkholderia sp.",1,0
"MH392648.1.1439","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","Lysinibacillus sp.",1,0
"MH261203.1.1417","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","Micromonospora endophytica",1,0
"MH236275.1.1399","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","Mesorhizobium acaciae",1,0
"MH236273.1.1403","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys","Labrys neptuniae",1,0
"MH169245.1.1462","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus simplex",1,0
"MH135315.1.1411","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Homoserinibacter sp.","",1,0
"MH077556.1.1517","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","Mitsuaria sp.",1,0
"MH071353.1.1458","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora","Actinomycetospora sp.",1,1
"MH063434.1.1524","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Paraburkholderia sp.",1,1
"MH017390.1.1521","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus jamilae",1,0
"MGUR01000062.16484.18033","Bacteria","Elusimicrobiota","Lineage IIa","Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12","","","",1,0
"MG934587.1.1468","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Homoserinibacter","Lysinimonas sp. LM-2018",1,0
"MG905836.1.1422","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","Psychrobacillus psychrodurans",1,0
"MG818310.1.1411","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Reyranella sp.",1,0
"MG798717.1.1448","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp.",1,0
"MG770672.1.1481","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","Micromonospora sp.",1,0
"MG770655.1.1482","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora sp.",1,1
"MG770625.1.1485","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora sp.",1,1
"MG770624.1.1479","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora sp.",1,1
"MG705869.1.1434","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","Lysinibacillus contaminans",1,0
"MG705729.1.1511","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Sinomonas","Sinomonas atrocyanea",1,1
"MG602826.1.1506","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","uncultured bacterium",1,0
"MG563366.1.1483","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Actinobacteria bacterium",1,0
"MG563282.1.1509","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured Gemmata sp.",1,1
"MG561845.1.1514","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp.",1,0
"MG546220.1.1463","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus popilliae",1,0
"MG238516.1.1476","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",1,2
"MG237861.1.1480","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter sp.",1,0
"MG232349.1.1448","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Microvirga sp.",1,0
"MF952728.1.1481","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter phenanthrenivorans",1,0
"MF949044.1.1503","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp.",1,0
"MF948291.1.1415","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. (in: Bacteria)",1,0
"MF689031.1.1402","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","Duganella sp.",1,0
"MF573435.1.1384","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp.",1,0
"MF573339.1.1327","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","Blastococcus sp.",1,0
"MF470197.1.1490","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus haikouensis",1,0
"MF446616.1.1479","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. JC52",1,1
"MF314727.1.1503","Bacteria","Proteobacteria","Gammaproteobacteria","R7C24","uncultured bacterium","","",1,0
"MF314626.1.1496","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","uncultured bacterium",1,0
"MF289403.1.1555","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured Bacillus sp.",1,0
"MF150300.1.1464","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidicapsa","Acidicapsa sp.",1,0
"MF144430.1.1512","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. (in: Bacteria)",1,0
"MF093193.1.1409","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Dyella marensis",1,0
"MF092510.1.1517","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus","uncultured bacterium",1,1
"MF085340.1.1508","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",1,0
"MF085331.1.1492","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",1,1
"MF085308.1.1530","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",1,0
"MF085260.1.1536","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",1,0
"MF085204.1.1525","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","uncultured bacterium",1,0
"MF085083.1.1514","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Acetivibrio","uncultured bacterium",1,0
"MBFF02000035.703.2230","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","Modestobacter sp. VKM Ac-2676",1,0
"LZSM01000010.3699.5231","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. 852014-51730_SCH5271717",1,0
"LZSD01000466.125.1657","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. 1477680.9",1,0
"LZMA01000030.14694.16236","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium colombiense",1,0
"LZLG01000079.93335.94877","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium colombiense",1,0
"LZKZ01000148.14737.16279","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium colombiense",1,0
"LZJS01000008.5706.7248","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium colombiense",1,0
"LZIQ01000127.161.1688","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. 852002-51296_SCH5728562-a",1,0
"LZHS01000018.3741.5273","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. 852002-10318_SCH4845932",1,0
"LYXZ01000028.4011.5477","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys","Labrys sp. WJW",1,0
"LY338350.1.1489","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus","Ureibacillus terrenus",1,0
"LY337733.10.1507","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia farcinica",1,0
"LY337035.1.1508","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","Hungateiclostridium thermocellum",1,0
"LXSB01000001.4111553.4113083","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","Clostridium sp. Bc-iso-3",1,0
"LXSB01000001.4042890.4044420","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","Clostridium sp. Bc-iso-3",1,0
"LXSB01000001.3146707.3148237","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","Clostridium sp. Bc-iso-3",1,0
"LXSB01000001.2637960.2639490","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","Clostridium sp. Bc-iso-3",1,0
"LVEM01000016.68.1534","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium stylosanthis",1,2
"LUZR01000030.2981.4475","Bacteria","WPS-2","Burkholderiales bacterium Beta_02","","","","",1,0
"LUUB01000105.358.1856","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. BR 10245",1,7
"LUUB01000103.3979.5477","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. BR 10245",1,7
"LT934238.1.1409","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","bacterium",1,0
"LT719154.1.1443","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter stalactiti",1,0
"LT670844.5235247.5236739","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium lablabi",1,0
"LT223655.1.1472","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13","Clostridium sulfidigenes",1,0
"LT221698.1.1450","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp. symbiont of Dicranocephalus lateralis",1,0
"LT221697.1.1450","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp. symbiont of Dicranocephalus lateralis",1,0
"LT221687.1.1452","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp. symbiont of Dicranocephalus albipes",1,0
"LT158617.1.1486","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Caballeronia temeraria",1,1
"LSLJ01000007.152638.154181","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa sphaeroides DSM 2875",1,0
